Symbol,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Sale Of Business,Net Income From Continuing Operations,Capital Expenditure Reported,Change In Other Working Capital,Change In Other Current Assets,Change In Accrued Expense,Net Preferred Stock Issuance,Preferred Stock Payments,Change In Prepaid Assets,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Gain Loss On Investment Securities,Short Term Debt Payments,Short Term Debt Issuance,Provisionand Write Offof Assets,Gain Loss On Sale Of PPE,Change In Other Current Liabilities,Unrealized Gain Loss On Investment Securities,Earnings Losses From Equity Investments,Other Cash Adjustment Inside Changein Cash,Cash Flow From Discontinued Operation,Preferred Stock Issuance,Net Foreign Currency Exchange Gain Loss,Amortization Of Securities,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Cash From Discontinued Operating Activities,Dividend Received Cfo,Preferred Stock Dividend Paid,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Purchase Of Investment Properties,Other Cash Adjustment Outside Changein Cash,Change In Interest Payable,Sale Of Intangibles,Interest Received Cfi,Dividends Received Cfi,Excess Tax Benefit From Stock Based Compensation,Interest Paid Cff,Dividend Paid Cfo,Depletion,Taxes Refund Paid,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities,Interest Paid Cfo
MMM,5065000000.0,-33000000.0,-3086000000.0,2835000000.0,,-1615000000.0,520000000.0,1384000000.0,5933000000.0,3655000000.0,-48000000.0,2326000000.0,-3147000000.0,-3147000000.0,-21000000.0,264000000.0,-3311000000.0,-3311000000.0,-33000000.0,-33000000.0,,-46000000.0,205000000.0,-251000000.0,-3086000000.0,2835000000.0,-1207000000.0,-1207000000.0,35000000.0,194000000.0,1660000000.0,-1466000000.0,60000000.0,60000000.0,,-1496000000.0,119000000.0,-1615000000.0,6680000000.0,6680000000.0,317000000.0,-80000000.0,-80000000.0,138000000.0,-218000000.0,-218000000.0,567000000.0,-170000000.0,-170000000.0,14827000000.0,274000000.0,0.0,-3855000000.0,-3855000000.0,1987000000.0,1987000000.0,109000000.0,145000000.0,-36000000.0,-6979000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS,597700000.0,-306500000.0,,,,-72600000.0,,,339900000.0,391200000.0,-12800000.0,-38500000.0,-684700000.0,-684700000.0,,23400000.0,-183500000.0,-183500000.0,-306500000.0,-306500000.0,,-218100000.0,,-218100000.0,,,-24100000.0,-24100000.0,,65300000.0,128400000.0,-63100000.0,-16800000.0,,-16800000.0,,,,670300000.0,670300000.0,12800000.0,7000000.0,-21400000.0,-21400000.0,,,18100000.0,-16400000.0,,,11500000.0,15600000.0,-3600000.0,-3600000.0,78300000.0,78300000.0,-900000.0,-900000.0,,556600000.0,-72600000.0,-3100000.0,7200000.0,28400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,5059000000.0,-1227000000.0,-2498000000.0,2000000.0,,-2202000000.0,662000000.0,1475000000.0,6896000000.0,9882000000.0,-23000000.0,-2963000000.0,-7091000000.0,-7091000000.0,,167000000.0,-3556000000.0,-3556000000.0,-1227000000.0,-1227000000.0,,-2475000000.0,21000000.0,-2496000000.0,-2498000000.0,2000000.0,-3133000000.0,-3133000000.0,22000000.0,-116000000.0,43000000.0,-159000000.0,-837000000.0,40000000.0,-877000000.0,-2202000000.0,,-2202000000.0,7261000000.0,7261000000.0,-2475000000.0,-760000000.0,-760000000.0,-760000000.0,,,-232000000.0,-356000000.0,-356000000.0,,644000000.0,,,,3243000000.0,3243000000.0,126000000.0,,,5723000000.0,,-585000000.0,,,,,-542000000.0,1966000000.0,1966000000.0,1277000000.0,126000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,22062000000.0,-1972000000.0,-4149000000.0,0.0,,-777000000.0,2469000000.0,4702000000.0,12814000000.0,9201000000.0,5000000.0,3608000000.0,-17222000000.0,-17222000000.0,-742000000.0,180000000.0,-10539000000.0,-10539000000.0,-1972000000.0,-1972000000.0,,-4149000000.0,,-4149000000.0,-4149000000.0,0.0,-2009000000.0,-2009000000.0,13000000.0,-22000000.0,55000000.0,-77000000.0,-1223000000.0,,-1223000000.0,-777000000.0,,-777000000.0,22839000000.0,22839000000.0,2813000000.0,3840000000.0,3840000000.0,3840000000.0,,,-417000000.0,66000000.0,66000000.0,4811000000.0,747000000.0,4229000000.0,-2889000000.0,-2889000000.0,8698000000.0,8698000000.0,,,0.0,4873000000.0,,-488000000.0,,,,,-188000000.0,7946000000.0,7946000000.0,752000000.0,,,,-443000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,8614518000.0,-4524646000.0,-771246000.0,1599033000.0,1418131000.0,-516509000.0,37182000.0,2386620000.0,5004469000.0,9045032000.0,-46264000.0,-3994299000.0,-6063508000.0,-6063508000.0,-543301000.0,,-3241479000.0,-3241479000.0,-3106515000.0,-4524646000.0,1418131000.0,827787000.0,,827787000.0,-771246000.0,1599033000.0,-7061818000.0,-7061818000.0,8672000.0,,,,-6553981000.0,28721000.0,-6582702000.0,-516509000.0,,-516509000.0,9131027000.0,9131027000.0,-2158890000.0,-454183000.0,160588000.0,46512000.0,114076000.0,114076000.0,,-601935000.0,,593076000.0,1941590000.0,,-93988000.0,-93988000.0,1430042000.0,1430042000.0,,,,7419197000.0,,28401000.0,-853202000.0,-614771000.0,,,,882107000.0,882107000.0,547935000.0,,,,,,-277971000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,6942000000.0,-4400000000.0,-500000000.0,,314000000.0,-360000000.0,106000000.0,1854000000.0,7141000000.0,4236000000.0,9000000.0,2896000000.0,-5182000000.0,-5182000000.0,-596000000.0,,,,-4086000000.0,-4400000000.0,314000000.0,-500000000.0,,-500000000.0,-500000000.0,,776000000.0,776000000.0,,1136000000.0,1189000000.0,-53000000.0,0.0,,0.0,-360000000.0,,-360000000.0,7302000000.0,7302000000.0,-355000000.0,86000000.0,-60000000.0,-49000000.0,-11000000.0,-11000000.0,,-159000000.0,-159000000.0,3000000.0,1718000000.0,,-426000000.0,-426000000.0,872000000.0,872000000.0,72000000.0,,,5428000000.0,,536000000.0,,146000000.0,,,-818000000.0,,,,,,,,72000000.0,,-10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,1121000000.0,-1412000000.0,0.0,0.0,,-546000000.0,84000000.0,523000000.0,3933000000.0,4835000000.0,,-902000000.0,-1146000000.0,-1146000000.0,-2000000.0,268000000.0,,,-1412000000.0,-1412000000.0,,0.0,,0.0,0.0,0.0,-1423000000.0,-1423000000.0,-11000000.0,-735000000.0,2987000000.0,-3722000000.0,-131000000.0,0.0,-131000000.0,-546000000.0,,-546000000.0,1667000000.0,1667000000.0,-3049000000.0,-740000000.0,-519000000.0,-419000000.0,,,-580000000.0,-1257000000.0,-1250000000.0,-64000000.0,1384000000.0,,-1019000000.0,-1019000000.0,3551000000.0,3551000000.0,10000000.0,,,854000000.0,,,,-221000000.0,,,-472000000.0,,,3551000000.0,,,,,11000000.0,,,-1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,-4690000000.0,,-10771000000.0,14882000000.0,421000000.0,-7724000000.0,1317000000.0,301000000.0,1990000000.0,2087000000.0,-270000000.0,173000000.0,5405000000.0,5405000000.0,1317000000.0,,-444000000.0,-444000000.0,,,,4111000000.0,818000000.0,3293000000.0,-4486000000.0,7779000000.0,-8188000000.0,-8188000000.0,-379000000.0,381000000.0,1318000000.0,-937000000.0,-466000000.0,254000000.0,-720000000.0,,,,3034000000.0,3034000000.0,310000000.0,-241000000.0,-241000000.0,-132000000.0,-109000000.0,-109000000.0,306000000.0,161000000.0,161000000.0,149000000.0,,1079000000.0,-54000000.0,-54000000.0,1128000000.0,1128000000.0,340000000.0,,-134000000.0,-182000000.0,-7724000000.0,-2000000.0,5000000.0,,421000000.0,,38000000.0,,,,143000000.0,-6285000000.0,7103000000.0,264000000.0,,43000000.0,,,-78000000.0,,421000000.0,331000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,3190000000.0,-2801000000.0,0.0,204000000.0,17000000.0,,185000000.0,1569000000.0,4306000000.0,3943000000.0,79000000.0,284000000.0,-3723000000.0,-3723000000.0,-177000000.0,,-966000000.0,-966000000.0,-2784000000.0,-2801000000.0,17000000.0,204000000.0,,204000000.0,0.0,204000000.0,817000000.0,817000000.0,-550000000.0,722000000.0,4297000000.0,-3575000000.0,,,,,,,3190000000.0,3190000000.0,-1652000000.0,-967000000.0,-967000000.0,,-967000000.0,-967000000.0,,-133000000.0,,1183000000.0,,,,,,,-1261000000.0,,,4659000000.0,,,,,,,,,,,-85000000.0,,,,,,,,,,,-1176000000.0,-270000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1474000000.0,-575000000.0,0.0,0.0,,-298000000.0,89000000.0,199000000.0,1593000000.0,1056000000.0,5000000.0,532000000.0,-930000000.0,-930000000.0,-122000000.0,67000000.0,-265000000.0,-265000000.0,-575000000.0,-575000000.0,,-35000000.0,-35000000.0,0.0,0.0,0.0,-310000000.0,-310000000.0,-8000000.0,-3000000.0,5000000.0,-8000000.0,-1000000.0,50000000.0,-51000000.0,-298000000.0,0.0,-298000000.0,1772000000.0,1772000000.0,-116000000.0,-171000000.0,-171000000.0,-171000000.0,,,-33000000.0,132000000.0,132000000.0,47000000.0,111000000.0,277000000.0,-56000000.0,-56000000.0,271000000.0,271000000.0,-2000000.0,,-43000000.0,1240000000.0,,-44000000.0,,,,,,,,,41000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,-1420100000.0,,-615400000.0,3516200000.0,,-4626400000.0,,,1617000000.0,2711000000.0,6500000.0,-1100500000.0,1609600000.0,1609600000.0,-86800000.0,24000000.0,-1496600000.0,-1496600000.0,,,,3169000000.0,268200000.0,2900800000.0,-615400000.0,3516200000.0,-5916400000.0,-5916400000.0,-634900000.0,256900000.0,897000000.0,-640100000.0,-912000000.0,,-912000000.0,-4626400000.0,,-4626400000.0,3206300000.0,3205700000.0,-424800000.0,-213300000.0,,,,,-129400000.0,36900000.0,130700000.0,-23400000.0,59900000.0,0.0,-24700000.0,-24700000.0,1358300000.0,1358300000.0,-32400000.0,,244600000.0,2292800000.0,,-119000000.0,,,,,,32500000.0,32500000.0,1325800000.0,,,,,,,,-261200000.0,,,,,,,,0.0,0.0,600000.0,,,,,,,,,,,,,,,,,,,,,,
ABNB,3884000000.0,-2252000000.0,0.0,0.0,,,55000000.0,132000000.0,12667000000.0,12103000000.0,152000000.0,412000000.0,-2430000000.0,-2430000000.0,-288000000.0,110000000.0,,,-2252000000.0,-2252000000.0,,0.0,,0.0,0.0,0.0,-1042000000.0,-1042000000.0,-114000000.0,-928000000.0,2380000000.0,-3308000000.0,,,,,,,3884000000.0,3884000000.0,720000000.0,580000000.0,,,,,,,,83000000.0,1120000000.0,0.0,-2875000000.0,-2875000000.0,44000000.0,44000000.0,,,,4792000000.0,,242000000.0,,580000000.0,,,-102000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKAM,618399000.0,-654046000.0,-90000000.0,1337388000.0,,-730040000.0,6328000.0,134478000.0,490470000.0,543022000.0,3868000.0,-56420000.0,443379000.0,443379000.0,-303137000.0,153174000.0,,,-654046000.0,-654046000.0,,1247388000.0,0.0,1247388000.0,,1247388000.0,-1848238000.0,-1848238000.0,-127054000.0,-884973000.0,576917000.0,-1461890000.0,-106171000.0,,-106171000.0,-457909000.0,,-457909000.0,1348439000.0,1348439000.0,-130697000.0,-39825000.0,,,,,,-49203000.0,-49203000.0,55562000.0,328467000.0,,-22987000.0,-22987000.0,570776000.0,570776000.0,-311000.0,,,547629000.0,-272131000.0,-24459000.0,,,,,-18726000.0,,,,-311000.0,-90000000.0,90000000.0,,,1516000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,-823960000.0,,-28862000.0,973061000.0,0.0,-2149281000.0,101978000.0,319391000.0,889900000.0,1499142000.0,222686000.0,-831928000.0,623911000.0,623911000.0,-133290000.0,190000.0,-187188000.0,-187188000.0,0.0,,0.0,944199000.0,,944199000.0,-28862000.0,973061000.0,-2781160000.0,-2781160000.0,,-204451000.0,,,-427428000.0,0.0,-427428000.0,,,,1325321000.0,1325321000.0,-1515342000.0,-29893000.0,-283411000.0,-283411000.0,,,-962924000.0,-350655000.0,-350655000.0,506824000.0,36545000.0,,100877000.0,100877000.0,429944000.0,429944000.0,-1944796000.0,-19524000.0,-71190000.0,1670543000.0,-2149281000.0,,-171870000.0,253518000.0,,,,,,,-71190000.0,,,,,,39864000.0,-1854082000.0,,,,,,,,,,,2000862000.0,,,,,,,,,,,,,,,,,,,,,
ARE,1630550000.0,,-10379030000.0,11535162000.0,103846000.0,,46583000.0,,660771000.0,857975000.0,-1291000.0,-195913000.0,674156000.0,674156000.0,261661000.0,,-847483000.0,-847483000.0,103846000.0,,103846000.0,1156132000.0,100000000.0,1056132000.0,-30000.0,1056162000.0,-2500619000.0,-2500619000.0,-5582000.0,-6076000.0,183396000.0,-189472000.0,-658000.0,0.0,-658000.0,,,,1630550000.0,1630550000.0,2029000.0,110672000.0,110672000.0,110672000.0,,,,-102000.0,-102000.0,-117224000.0,82858000.0,461114000.0,,,1000142000.0,1000142000.0,-82620000.0,,,280994000.0,,-109339000.0,798000.0,,,,,-93331000.0,-93331000.0,1093473000.0,-81640000.0,-10379000000.0,10479000000.0,,,,,-980000.0,,,,,,,,,,,3257000.0,,-2488303000.0,1195743000.0,-3684046000.0,,,,,,,,,,,,,,,,,
ALGN,608060000.0,-592360000.0,,,26595000.0,-177716000.0,,294569000.0,938519000.0,942355000.0,4671000.0,-8507000.0,-598340000.0,-598340000.0,-32575000.0,,,,-565765000.0,-592360000.0,26595000.0,,,,,,-195943000.0,-195943000.0,278000.0,58494000.0,61404000.0,-2910000.0,-76999000.0,,-76999000.0,-177716000.0,,-177716000.0,785776000.0,785776000.0,-7892000.0,30852000.0,-15475000.0,-7703000.0,-7772000.0,-7772000.0,30169000.0,-104614000.0,-104614000.0,65840000.0,154026000.0,4990000.0,-18642000.0,-18642000.0,142401000.0,142401000.0,,,,445053000.0,,86714000.0,,46327000.0,,,-51013000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLE,516400000.0,-59900000.0,-111600000.0,30000000.0,,-84200000.0,,,468100000.0,288000000.0,7300000.0,172800000.0,-298700000.0,-298700000.0,1500000.0,,-158700000.0,-158700000.0,-59900000.0,-59900000.0,,-81600000.0,-69000000.0,-12600000.0,-12600000.0,0.0,-129100000.0,-129100000.0,-13200000.0,,,,-31700000.0,0.0,-31700000.0,,,,600600000.0,600600000.0,-17800000.0,-33600000.0,-33600000.0,-33600000.0,,,44600000.0,-11900000.0,,-800000.0,26400000.0,7500000.0,-67700000.0,-67700000.0,111600000.0,111600000.0,,,0.0,540600000.0,-84200000.0,-16900000.0,,,,,,,,,,-99000000.0,30000000.0,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNT,867000000.0,0.0,-508000000.0,1455000000.0,246000000.0,,378000000.0,,63000000.0,24000000.0,,39000000.0,573000000.0,573000000.0,3000000.0,,-456000000.0,-456000000.0,246000000.0,,246000000.0,780000000.0,-167000000.0,947000000.0,-508000000.0,1455000000.0,-1401000000.0,-1401000000.0,333000000.0,,,,-1734000000.0,120000000.0,-1854000000.0,,,,867000000.0,867000000.0,-487000000.0,-122000000.0,-122000000.0,-122000000.0,,,-62000000.0,-414000000.0,-414000000.0,-39000000.0,,,14000000.0,14000000.0,676000000.0,676000000.0,,,,703000000.0,,68000000.0,173000000.0,,0.0,0.0,,,,,,,,,,-130000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,3961000000.0,-910000000.0,-750000000.0,743000000.0,587000000.0,-267000000.0,355000000.0,,722000000.0,736000000.0,,-14000000.0,-1243000000.0,-1243000000.0,46000000.0,73000000.0,-1032000000.0,-925000000.0,-335000000.0,-335000000.0,,-7000000.0,,-7000000.0,-750000000.0,743000000.0,-2999000000.0,-2999000000.0,,-2515000000.0,30760000000.0,-33275000000.0,-180000000.0,710000000.0,-890000000.0,-240000000.0,27000000.0,-267000000.0,4228000000.0,4228000000.0,3428000000.0,,,,,,,-54000000.0,-54000000.0,,,,,,,704000000.0,225000000.0,9000000.0,0.0,-213000000.0,,-616000000.0,,,12000000.0,-575000000.0,,,,704000000.0,220000000.0,,,,,,,-4000000.0,,,587000000.0,,,,,,,,,-107000000.0,,,,0.0,,,,,,,,,,,,,,,,
GOOGL,69495000000.0,-61504000000.0,-11550000000.0,10790000000.0,,-32251000000.0,,19164000000.0,24048000000.0,21879000000.0,-421000000.0,2590000000.0,-72093000000.0,-72093000000.0,8000000.0,-9837000000.0,,,-61504000000.0,-61504000000.0,,-760000000.0,,-760000000.0,-11550000000.0,10790000000.0,-27063000000.0,-27063000000.0,-1051000000.0,6734000000.0,87619000000.0,-80885000000.0,-495000000.0,,-495000000.0,-32251000000.0,,-32251000000.0,101746000000.0,101746000000.0,-3845000000.0,5083000000.0,664000000.0,664000000.0,,,,-7833000000.0,-7833000000.0,4330000000.0,22460000000.0,,-7763000000.0,-7763000000.0,11946000000.0,11946000000.0,823000000.0,,,73795000000.0,,1048000000.0,-2143000000.0,4419000000.0,,,,,,11946000000.0,823000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,69495000000.0,-61504000000.0,-11550000000.0,10790000000.0,,-32251000000.0,,19164000000.0,24048000000.0,21879000000.0,-421000000.0,2590000000.0,-72093000000.0,-72093000000.0,8000000.0,-9837000000.0,,,-61504000000.0,-61504000000.0,,-760000000.0,,-760000000.0,-11550000000.0,10790000000.0,-27063000000.0,-27063000000.0,-1051000000.0,6734000000.0,87619000000.0,-80885000000.0,-495000000.0,,-495000000.0,-32251000000.0,,-32251000000.0,101746000000.0,101746000000.0,-3845000000.0,5083000000.0,664000000.0,664000000.0,,,,-7833000000.0,-7833000000.0,4330000000.0,22460000000.0,,-7763000000.0,-7763000000.0,11946000000.0,11946000000.0,823000000.0,,,73795000000.0,,1048000000.0,-2143000000.0,4419000000.0,,,,,,11946000000.0,823000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,9091000000.0,-1000000000.0,-3566000000.0,2998000000.0,,-196000000.0,1116000000.0,1890000000.0,3721000000.0,4091000000.0,,-370000000.0,-8374000000.0,-8374000000.0,-27000000.0,,-6779000000.0,-6779000000.0,-1000000000.0,-1000000000.0,,-568000000.0,0.0,-568000000.0,-1566000000.0,998000000.0,-1283000000.0,-1283000000.0,-36000000.0,,,,-1051000000.0,1700000000.0,-2751000000.0,,,,9287000000.0,9287000000.0,-47000000.0,-324000000.0,38000000.0,38000000.0,,,-15000000.0,6000000.0,,131000000.0,,,881000000.0,881000000.0,272000000.0,272000000.0,-243000000.0,,,8130000000.0,-196000000.0,286000000.0,,-362000000.0,,,,,,,,-2000000000.0,2000000000.0,,,,,-243000000.0,,,,,,,,,,,163000000.0,,,,,,,,,,,,,,,,,,,,,
AMZN,32217000000.0,0.0,-33737000000.0,18129000000.0,,-52729000000.0,3112000000.0,11179000000.0,73890000000.0,54253000000.0,403000000.0,19234000000.0,-15879000000.0,-15879000000.0,-271000000.0,,,,0.0,0.0,,-15608000000.0,-7548000000.0,-8060000000.0,-8060000000.0,0.0,-49833000000.0,-49833000000.0,,4139000000.0,5627000000.0,-1488000000.0,-5839000000.0,,-5839000000.0,-48133000000.0,4596000000.0,-52729000000.0,84946000000.0,84946000000.0,-11541000000.0,3045000000.0,5473000000.0,5473000000.0,,,1449000000.0,-8348000000.0,-8348000000.0,-748000000.0,24023000000.0,,-5876000000.0,-5876000000.0,48663000000.0,48663000000.0,,,,30425000000.0,,4578000000.0,-12265000000.0,-2428000000.0,,,,,,,,-25677000000.0,18129000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCR,829000000.0,-81000000.0,-27000000.0,1024000000.0,0.0,-492000000.0,,,588000000.0,689000000.0,-89000000.0,-12000000.0,-857000000.0,-857000000.0,,,-722000000.0,-722000000.0,-81000000.0,-81000000.0,0.0,-54000000.0,-1051000000.0,997000000.0,-27000000.0,1024000000.0,-476000000.0,-476000000.0,,,,,-23000000.0,0.0,-23000000.0,-453000000.0,39000000.0,-492000000.0,1321000000.0,1321000000.0,-120000000.0,-35000000.0,-43000000.0,-43000000.0,,,95000000.0,-43000000.0,-43000000.0,79000000.0,32000000.0,0.0,-37000000.0,-37000000.0,595000000.0,595000000.0,32000000.0,12000000.0,0.0,740000000.0,,-58000000.0,,8000000.0,,,-5000000.0,,,595000000.0,,,,,-11000000.0,-74000000.0,,4000000.0,0.0,,,27000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMTM,255000000.0,,,,,-23000000.0,,,156000000.0,207000000.0,8000000.0,-59000000.0,-272000000.0,-272000000.0,-272000000.0,,,,,,,,,,,,-65000000.0,-65000000.0,-46000000.0,,,,0.0,0.0,0.0,-19000000.0,4000000.0,-23000000.0,278000000.0,278000000.0,-45000000.0,-65000000.0,20000000.0,13000000.0,,,,23000000.0,22000000.0,6000000.0,5000000.0,2000000.0,-7000000.0,-7000000.0,74000000.0,74000000.0,-3000000.0,,,246000000.0,,1000000.0,17000000.0,-85000000.0,,,-2000000.0,56000000.0,56000000.0,18000000.0,,,,,,-19000000.0,,-3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE,-1207000000.0,0.0,-100000000.0,2295000000.0,346000000.0,-3771000000.0,546000000.0,,272000000.0,216000000.0,,56000000.0,1290000000.0,1290000000.0,-56000000.0,,-662000000.0,-662000000.0,346000000.0,,346000000.0,1662000000.0,-533000000.0,2195000000.0,-100000000.0,2295000000.0,-3798000000.0,-3798000000.0,-1000000.0,-26000000.0,240000000.0,-266000000.0,,,,,,,2564000000.0,2564000000.0,-326000000.0,-108000000.0,-108000000.0,-104000000.0,-4000000.0,-4000000.0,-67000000.0,144000000.0,,-22000000.0,26000000.0,,229000000.0,229000000.0,1500000000.0,1500000000.0,,,,1157000000.0,-3771000000.0,-301000000.0,-109000000.0,,0.0,0.0,,,,1500000000.0,,,,,,115000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP,-2494300000.0,,-4616300000.0,6532700000.0,999600000.0,-7506500000.0,,,379000000.0,556500000.0,,-177500000.0,1077000000.0,1077000000.0,-78600000.0,,-1760400000.0,-1760400000.0,999600000.0,,999600000.0,1916400000.0,-1282000000.0,3198400000.0,-2264400000.0,5462800000.0,-6266700000.0,-6266700000.0,1463500000.0,-68500000.0,2795100000.0,-2863600000.0,-155200000.0,,-155200000.0,-128200000.0,,-128200000.0,5012200000.0,5012200000.0,-703500000.0,-230700000.0,-230700000.0,-253200000.0,22500000.0,22500000.0,-504000000.0,236500000.0,236500000.0,58700000.0,,104600000.0,144000000.0,144000000.0,3187000000.0,3187000000.0,8800000.0,,0.0,2212600000.0,-7378300000.0,,-43900000.0,,,,,,,3187000000.0,8800000.0,-2351900000.0,1069900000.0,,0.0,-161400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,16996000000.0,-3650000000.0,-10703000000.0,15674000000.0,28000000.0,-1563000000.0,,,46596000000.0,33914000000.0,177000000.0,12505000000.0,18379000000.0,18379000000.0,,,-1780000000.0,-1780000000.0,-3622000000.0,-3650000000.0,28000000.0,4866000000.0,-105000000.0,4971000000.0,-10703000000.0,15674000000.0,-24433000000.0,-24433000000.0,,2318000000.0,3890000000.0,-1572000000.0,-64000000.0,,,-1563000000.0,,-1563000000.0,18559000000.0,18559000000.0,3821000000.0,5065000000.0,5065000000.0,5065000000.0,,,,,,669000000.0,450000000.0,,-1329000000.0,-1329000000.0,1651000000.0,1651000000.0,,,,8374000000.0,,,-1244000000.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIG,6243000000.0,-2961000000.0,-4160000000.0,2207000000.0,,,1059000000.0,984000000.0,2204000000.0,2216000000.0,-13000000.0,4000000.0,782000000.0,782000000.0,6722000000.0,,-1026000000.0,-997000000.0,-2961000000.0,-2961000000.0,,-1953000000.0,,-1953000000.0,-4160000000.0,2207000000.0,-7021000000.0,-7021000000.0,-1320000000.0,-6308000000.0,44565000000.0,-50873000000.0,3315000000.0,3315000000.0,,,,,6243000000.0,6243000000.0,-3548000000.0,,,,,,,,,-385000000.0,,90000000.0,,,,4214000000.0,320000000.0,,-643000000.0,3878000000.0,,-194000000.0,,,,,,,,,970000000.0,,,,,,1674000000.0,-7000000.0,,,,,,,,,,,,-29000000.0,,,,-3000000.0,,,,,,,,,,,,,,,,
AMT,2924300000.0,0.0,-13230300000.0,11947000000.0,0.0,-1798100000.0,1260000000.0,306500000.0,2093400000.0,2140700000.0,23200000.0,-70500000.0,-3097400000.0,-3097400000.0,1113100000.0,22100000.0,-2949300000.0,-2949300000.0,0.0,0.0,0.0,-1283300000.0,6268700000.0,-7552000000.0,-13230300000.0,5678300000.0,-1695500000.0,-1695500000.0,253300000.0,17300000.0,17300000.0,0.0,-168000000.0,,-168000000.0,-1798100000.0,,-1798100000.0,4722400000.0,4722400000.0,-813900000.0,116700000.0,-11900000.0,-11900000.0,,,,-34500000.0,-34500000.0,49800000.0,195700000.0,739900000.0,-182000000.0,-182000000.0,3086500000.0,3086500000.0,279300000.0,,,1367100000.0,,-619100000.0,,128600000.0,,,-342600000.0,,,3086500000.0,279000000.0,,6268700000.0,,,65600000.0,,,,,,,,,,,,,,,,,,,128600000.0,,,,,,,,,,,,,,,
